Diseases,Meaningful_Symptoms,Has_Disease
"Horizon Health Care Announces Len Wonnenberg, PA-C, as 2020 Provider of the Year",,Yes
Horizon Health Care Announces Jessica Weber as 2020 Employee of the Year,,Yes
"Cindy Foss, RDH, Joins De Smet Dental Services",,Yes
"Kylie Beckman, RDH, Joins Prairie Winds Dental",,Yes
Horizon Health Care CEO Earns Regional Award,,Yes
"Teresa Marts, MD, and Alyssa Hicks, CNP, Join Mission Community Health Center",,Yes
Diabetes is Never Just You,,Yes
Horizon Health Care Announces Kendra Newbold as Chief Operations Officer,,Yes
"Jocelyn Bergh, PA-C, MPAS, Joins Martin Community Health Center",,Yes
"Mark Cali, MPAS, PA-C, Joins Martin Community Health Center",,Yes
"Curtis Collins, DDS, Joins Jerauld County Dental Clinic",,Yes
Horizon Health Care Announces Nurse Manager,,Yes
"Geoffrey Whitney, DMD, Joins Horizon Health Care",,Yes
"Katlyn Rostyne, CNP, Joins Woonsocket Community Health Center",,Yes
"Amanda Thoms, CNP, Joins Yankton Community Health Center and Dental Services",,Yes
"Kimberli Hastings, CNP, Joins Fort Thompson Community Health Center",,Yes
"Alexandra Bachman-Williams, PA-C, Joins Horizon Health Care",,Yes
"Cindy Foss, RDH, Joins Prairie Winds Dental",,Yes
"Horizon Health Care Announces Move to New Location in Yankton, Plans Care Options During Transition",,Yes
Northwestern Energy Gift to Horizon Health Foundation Sparks Hope During the Coronavirus Crisis,,Yes
Horizon Health Care Dental Clinics Initiate Phased Reopening,,Yes
Behavioral Health with TeleHome During Mental Health Awareness Month,,Yes
"Terry Weaver, MD, Joins Jerauld County Community Health Center",,Yes
"Horizon Health Care Continues, Expands Appointment Options During COVID-19 Pandemic",,Yes
Generous Donation from Dr. Tom and Kathy Dean Will Keep Rural Medicine Alive and Thriving,,Yes
How to Help During COVID-19 Pandemic,,Yes
New Clinic Safety Precautions & Restrictions Regarding COVID-19,,Yes
A Journey to Wellness for Say Wah,,Yes
Colorectal Screening Partnership,,Yes
A Journey to Wellness for Dave Hodges,,Yes
Our Telemedicine Services Receive Funding from SD Telecommunication Companies and USDA Grant,,Yes
Dental Health Care for Rural Communities in South Dakota,,Yes
"Haley Brunke, PA-C, Joins Mission Community Health Center",,Yes
Patient Miracles and What it Means to Have Health Care Close to Home,,Yes
De Smet Dental Services Welcomes Outreach Students,,Yes
Prairie Winds Dental Welcomes Outreach Students,,Yes
Jerauld County Dental Clinic Welcomes Outreach Students,,Yes
"Cassandra Aesoph, CNP, Joins Aberdeen Community Health Center",,Yes
"Danny Wolfgram, MD, Joins Aberdeen Community Health Center",,Yes
Horizon Health Care Recognized as Health Center Quality Leader,,Yes
Prairie Winds Dental Welcomes Outreach Students,,Yes
Jerauld County Dental Clinic Welcomes Outreach Student,,Yes
"Darcie Schmidt, CNP, FNP-BC, Joins Jerauld County Community Health Center",,Yes
"Madeline Pfeiffer, DDS, Joins Prairie Winds Dental",,Yes
Prairie Winds Dental Clinic Welcomes Outreach Students,,Yes
The Importance of Vaccines and Your Health,,Yes
"Marissa Schelske, RDH, Joins Horizon Health Care, Inc.",,Yes
"Diane Inch, PA-C, Joins Martin Community Health Center",,Yes
Lyle’s Story,,Yes
"Ryan Rowe, CNP, Joins Mission Community Health Center",,Yes
"Catherine Friesen, CNP, Joins Aberdeen Community Health Center",,Yes
"Theresa Hammerquist, CNP, Joins Martin Community Health Center",,Yes
Horizon Health Beat: Bug Bites,,Yes
Prairie Winds Dental Clinic Welcomes Outreach Student,,Yes
March is Colorectal Cancer Awareness Month,,Yes
"Barbara De Witt, CNP, Joins Yankton Community Health Center and Dental Services",,Yes
Horizon Health Care to Provide Free Dental Exams to Children in February 2018,,Yes
"Horizon Health Care Employee Giving Campaign raises over $41,000",,Yes
"Tia Chase, PA-C, Joins Jerauld County Community Health Center",,Yes
"Margaret Lee, PA-C, Joins Martin Community Health Center",,Yes
Horizon Receives Grant to Improve Rates of Cancer Screening,,Yes
"Randall Law, PA-C, Joins Aberdeen Community Health Center",,Yes
"Courtney Carmichael, PA-C, Joins Martin Community Health Center",,Yes
"Melissa Davis, CNP, Named 2017 Horizon Provider of the Year",,Yes
Prairie Winds Dental Welcomes Outreach Students,,Yes
Jerauld County Dental Clinic Welcomes Outreach Students,,Yes
"Horizon Health Care, Inc. Recognized as Health Center Quality Leader",,Yes
"Dr. Hilary Haley, DDS, Joins Horizon Health Care, Inc.",,Yes
Prairie Winds Dental Clinic Welcomes Outreach Students,,Yes
"Melissa Nehl, CNP, DNP, APRN, Joins Horizon Health Care, Inc.",,Yes
"Michael Peña, MD, Joins Horizon Health Care, Inc.",,Yes
"Jennalee Olsen, CNP, Joins Aurora County Community Health Center",,Yes
"Leah Bennett, PA-C, Joins Aberdeen Community Health Center",,Yes
"Jamie Kern Kohler, DDS, Joins Prairie Winds Dental",,Yes
"Ashley Edelburg, DMD, Joins Martin Dental Clinic",,Yes
"Bryce Wilen, DDS, Joins Faith Dental Clinic",,Yes
"Jennifer Franke, CNP, Joins Martin Community Health Center",,Yes
"Horizon Health Care, Inc. and allPOINTS Health Services Merger Final",,Yes
"Horizon Health Care, Inc. and allPOINTS Health Services Merger on track for June 1, 2017",,Yes
Horizon Health Care Employees Honored for Contributions to First Employee Giving Campaign,,Yes
"HOPE $20,000 Match Challenge Raises Nearly $13,000 for South Dakota Patients",,Yes
"Autumn Tucker, CNP, Joins Mission Community Health Center",,Yes
Howard Farmers Co-op Invests in Colorectal Cancer Prevention for Rural South Dakotans,,Yes
"Kristin VanBuskirk, CNP, Joins James Valley Community Health Center",,Yes
"Tony Berg, MD, Joins Southwest Region Clinics",,Yes
"Horizon Health Foundation Announces HOPE $20,000 Match Challenge to Support South Dakota Patients",,Yes
"Horizon Health Care, Inc. and allPOINTS Health Services to Merge",,Yes
John Mengenhausen Named Recipient of 2016 CHAMPS Presidential Award,,Yes
Howard Community Health Center to Collect Outer Wear for Children,,Yes
Richard “Dick” Bair Named Recipient of Exceptional Board Leadership Award,,Yes
"Misty Rudebusch, PA-C, and Avera Medical Team to Join Howard Community Health Center",,Yes
"Dannica Callies, DNP, NP Named Horizon Health Care Provider of the Year",,Yes
Fort Thompson Community Health Center Celebrates One Year Anniversary,,Yes
Construction in Progress for Horizon Health Care’s New Faith Dental Clinic,,Yes
"Karley Fischer, PA-C Joins De Smet Community Health Center",,Yes
"Horizon Health Care, Inc. Receives Nearly $60,000 for Quality Improvement Efforts",,Yes
"Donna Linke, CNP, MSN, Joins Horizon Health Care, Inc.",,Yes
Horizon Receives Grant to Improve Rates of Breast and Cervical Cancer Screening in Target Communities,,Yes
"Brady Weispfennig, DDS Joins De Smet Dental Clinic",,Yes
June is National Men’s Health Month,,Yes
"Horizon Health Care, Inc. to Expand Oral Health Services in Faith, SD",,Yes
"Francoise Bansenga, FNP-BC, Joins Martin Community Health Center",,Yes
Aurora County Dental Clinic to Open in August; Now Accepting Appointments,,Yes
