Diseases,Symptoms,Disease_Present
"Teresa Marts, MD, and Alyssa Hicks, CNP, Join Mission Community Health Center",set(),1
Diabetes is Never Just You,set(),1
Horizon Health Care Announces Kendra Newbold as Chief Operations Officer,set(),1
"Jocelyn Bergh, PA-C, MPAS, Joins Martin Community Health Center",set(),1
"Mark Cali, MPAS, PA-C, Joins Martin Community Health Center",set(),1
"Curtis Collins, DDS, Joins Jerauld County Dental Clinic",set(),1
Horizon Health Care Announces Nurse Manager,set(),1
"Geoffrey Whitney, DMD, Joins Horizon Health Care",set(),1
"Katlyn Rostyne, CNP, Joins Woonsocket Community Health Center",set(),1
"Amanda Thoms, CNP, Joins Yankton Community Health Center and Dental Services",set(),1
"Kimberli Hastings, CNP, Joins Fort Thompson Community Health Center",set(),1
"Alexandra Bachman-Williams, PA-C, Joins Horizon Health Care",set(),1
"Cindy Foss, RDH, Joins Prairie Winds Dental",set(),1
"Horizon Health Care Announces Move to New Location in Yankton, Plans Care Options During Transition",set(),1
Northwestern Energy Gift to Horizon Health Foundation Sparks Hope During the Coronavirus Crisis,set(),1
Horizon Health Care Dental Clinics Initiate Phased Reopening,set(),1
Behavioral Health with TeleHome During Mental Health Awareness Month,set(),1
"Terry Weaver, MD, Joins Jerauld County Community Health Center",set(),1
"Horizon Health Care Continues, Expands Appointment Options During COVID-19 Pandemic",set(),1
Generous Donation from Dr. Tom and Kathy Dean Will Keep Rural Medicine Alive and Thriving,set(),1
How to Help During COVID-19 Pandemic,set(),1
New Clinic Safety Precautions & Restrictions Regarding COVID-19,set(),1
A Journey to Wellness for Say Wah,set(),1
Colorectal Screening Partnership,set(),1
A Journey to Wellness for Dave Hodges,set(),1
Our Telemedicine Services Receive Funding from SD Telecommunication Companies and USDA Grant,set(),1
Dental Health Care for Rural Communities in South Dakota,set(),1
"Haley Brunke, PA-C, Joins Mission Community Health Center",set(),1
Patient Miracles and What it Means to Have Health Care Close to Home,set(),1
De Smet Dental Services Welcomes Outreach Students,set(),1
Prairie Winds Dental Welcomes Outreach Students,set(),1
Jerauld County Dental Clinic Welcomes Outreach Students,set(),1
"Cassandra Aesoph, CNP, Joins Aberdeen Community Health Center",set(),1
"Danny Wolfgram, MD, Joins Aberdeen Community Health Center",set(),1
Horizon Health Care Recognized as Health Center Quality Leader,set(),1
Prairie Winds Dental Welcomes Outreach Students,set(),1
Jerauld County Dental Clinic Welcomes Outreach Student,set(),1
"Darcie Schmidt, CNP, FNP-BC, Joins Jerauld County Community Health Center",set(),1
"Madeline Pfeiffer, DDS, Joins Prairie Winds Dental",set(),1
Prairie Winds Dental Clinic Welcomes Outreach Students,set(),1
The Importance of Vaccines and Your Health,set(),1
"Marissa Schelske, RDH, Joins Horizon Health Care, Inc.",set(),1
"Diane Inch, PA-C, Joins Martin Community Health Center",set(),1
Lyle’s Story,set(),1
"Ryan Rowe, CNP, Joins Mission Community Health Center",set(),1
"Catherine Friesen, CNP, Joins Aberdeen Community Health Center",set(),1
"Theresa Hammerquist, CNP, Joins Martin Community Health Center",set(),1
Horizon Health Beat: Bug Bites,set(),1
Prairie Winds Dental Clinic Welcomes Outreach Student,set(),1
March is Colorectal Cancer Awareness Month,set(),1
"Barbara De Witt, CNP, Joins Yankton Community Health Center and Dental Services",set(),1
Horizon Health Care to Provide Free Dental Exams to Children in February 2018,set(),1
"Horizon Health Care Employee Giving Campaign raises over $41,000",set(),1
"Tia Chase, PA-C, Joins Jerauld County Community Health Center",set(),1
"Margaret Lee, PA-C, Joins Martin Community Health Center",set(),1
Horizon Receives Grant to Improve Rates of Cancer Screening,set(),1
"Randall Law, PA-C, Joins Aberdeen Community Health Center",set(),1
"Courtney Carmichael, PA-C, Joins Martin Community Health Center",set(),1
"Melissa Davis, CNP, Named 2017 Horizon Provider of the Year",set(),1
Prairie Winds Dental Welcomes Outreach Students,set(),1
Jerauld County Dental Clinic Welcomes Outreach Students,set(),1
"Horizon Health Care, Inc. Recognized as Health Center Quality Leader",set(),1
"Dr. Hilary Haley, DDS, Joins Horizon Health Care, Inc.",set(),1
Prairie Winds Dental Clinic Welcomes Outreach Students,set(),1
"Melissa Nehl, CNP, DNP, APRN, Joins Horizon Health Care, Inc.",set(),1
"Michael Peña, MD, Joins Horizon Health Care, Inc.",set(),1
"Jennalee Olsen, CNP, Joins Aurora County Community Health Center",set(),1
"Leah Bennett, PA-C, Joins Aberdeen Community Health Center",set(),1
"Jamie Kern Kohler, DDS, Joins Prairie Winds Dental",set(),1
"Ashley Edelburg, DMD, Joins Martin Dental Clinic",set(),1
"Bryce Wilen, DDS, Joins Faith Dental Clinic",set(),1
"Jennifer Franke, CNP, Joins Martin Community Health Center",set(),1
"Horizon Health Care, Inc. and allPOINTS Health Services Merger Final",set(),1
"Horizon Health Care, Inc. and allPOINTS Health Services Merger on track for June 1, 2017",set(),1
Horizon Health Care Employees Honored for Contributions to First Employee Giving Campaign,set(),1
"HOPE $20,000 Match Challenge Raises Nearly $13,000 for South Dakota Patients",set(),1
"Autumn Tucker, CNP, Joins Mission Community Health Center",set(),1
Howard Farmers Co-op Invests in Colorectal Cancer Prevention for Rural South Dakotans,set(),1
"Kristin VanBuskirk, CNP, Joins James Valley Community Health Center",set(),1
"Tony Berg, MD, Joins Southwest Region Clinics",set(),1
"Horizon Health Foundation Announces HOPE $20,000 Match Challenge to Support South Dakota Patients",set(),1
"Horizon Health Care, Inc. and allPOINTS Health Services to Merge",set(),1
John Mengenhausen Named Recipient of 2016 CHAMPS Presidential Award,set(),1
Howard Community Health Center to Collect Outer Wear for Children,set(),1
Richard “Dick” Bair Named Recipient of Exceptional Board Leadership Award,set(),1
"Misty Rudebusch, PA-C, and Avera Medical Team to Join Howard Community Health Center",set(),1
"Dannica Callies, DNP, NP Named Horizon Health Care Provider of the Year",set(),1
Fort Thompson Community Health Center Celebrates One Year Anniversary,set(),1
Construction in Progress for Horizon Health Care’s New Faith Dental Clinic,set(),1
"Karley Fischer, PA-C Joins De Smet Community Health Center",set(),1
"Horizon Health Care, Inc. Receives Nearly $60,000 for Quality Improvement Efforts",set(),1
"Donna Linke, CNP, MSN, Joins Horizon Health Care, Inc.",set(),1
Horizon Receives Grant to Improve Rates of Breast and Cervical Cancer Screening in Target Communities,set(),1
"Brady Weispfennig, DDS Joins De Smet Dental Clinic",set(),1
June is National Men’s Health Month,set(),1
"Horizon Health Care, Inc. to Expand Oral Health Services in Faith, SD",set(),1
"Francoise Bansenga, FNP-BC, Joins Martin Community Health Center",set(),1
Aurora County Dental Clinic to Open in August; Now Accepting Appointments,set(),1
